ID,Titulo,Artista,Idioma,Categoria,Imagen_URL,Enlace_Letra,Cancion_Original
368,El Calor Del Amor En Un Bar,Gabinete Caligari,ES,General,,https://genius.com/search?q=GABINETE%20CALIGARI%20EL%20CALOR%20DEL%20AMOR%20EN%20UN%20BAR,GABINETE CALIGARI EL CALOR DEL AMOR EN UN BAR
369,La Culpa Fue Del Cha Cha Chá,Gabinete Caligari,ES,General,,https://genius.com/search?q=GABINETE%20CALIGARI%20LA%20CULPA%20FUE%20DEL%20CHA%20CHA%20CH%C3%81,GABINETE CALIGARI LA CULPA FUE DEL CHA CHA CHÁ
370,Galigari Solo Se Vive Una Vez,Gabinete,ES,General,,https://genius.com/search?q=GABINETE%20GALIGARI%20SOLO%20SE%20VIVE%20UNA%20VEZ,GABINETE GALIGARI SOLO SE VIVE UNA VEZ
371,Galvan Real La Magia,,ES,General,,https://genius.com/search?q=GALVAN%20REAL%20LA%20MAGIA,GALVAN REAL LA MAGIA
372,Gangnam Gangnam Style,,ES,General,,https://genius.com/search?q=GANGNAM%20GANGNAM%20STYLE,GANGNAM GANGNAM STYLE
373,Popurry,Garibaldi,ES,General,,https://genius.com/search?q=GARIBALDI%20POPURRY,GARIBALDI POPURRY
374,Que Te La Pongo,Garibaldi,ES,General,,https://genius.com/search?q=GARIBALDI%20QUE%20TE%20LA%20PONGO,GARIBALDI QUE TE LA PONGO
375,Vamonos De Fiesta,Garibaldi,ES,General,,https://genius.com/search?q=GARIBALDI%20VAMONOS%20DE%20FIESTA,GARIBALDI VAMONOS DE FIESTA
376,Gente De Zona Y Marc Anthony La Gozadera,,ES,General,,https://genius.com/search?q=GENTE%20DE%20ZONA%20Y%20MARC%20ANTHONY%20LA%20GOZADERA,GENTE DE ZONA Y MARC ANTHONY LA GOZADERA
377,"Cachete, Pechito Y Ombligo",Georgie Dann,ES,General,,https://genius.com/search?q=GEORGIE%20DANN%20CACHETE%2C%20PECHITO%20Y%20OMBLIGO,"GEORGIE DANN CACHETE, PECHITO Y OMBLIGO"
378,Chiringuito,Georgie Dann El,ES,General,,https://genius.com/search?q=GEORGIE%20DANN%20EL%20CHIRINGUITO,GEORGIE DANN EL CHIRINGUITO
379,King A Mi Manera,Gipsy,ES,General,,https://genius.com/search?q=GIPSY%20KING%20A%20MI%20MANERA,GIPSY KING A MI MANERA
380,Bamboleo,Gipsy Kings,ES,General,,https://genius.com/search?q=GIPSY%20KINGS%20BAMBOLEO,GIPSY KINGS BAMBOLEO
381,El Toro Y La Luna,Gipsy Kings,ES,General,,https://genius.com/search?q=GIPSY%20KINGS%20EL%20TORO%20Y%20LA%20LUNA,GIPSY KINGS EL TORO Y LA LUNA
382,Volare,Gipsy Kings,ES,General,,https://genius.com/search?q=GIPSY%20KINGS%20VOLARE,GIPSY KINGS VOLARE
383,Heroes Del Silencio Entre Dos Tierras,,ES,General,,https://genius.com/search?q=HEROES%20DEL%20SILENCIO%20ENTRE%20DOS%20TIERRAS,HEROES DEL SILENCIO ENTRE DOS TIERRAS
384,Heroes Del Silencio Maldito Duende,,ES,General,,https://genius.com/search?q=HEROES%20DEL%20SILENCIO%20MALDITO%20DUENDE,HEROES DEL SILENCIO MALDITO DUENDE
385,Himno Covid19 Resistire 2020,,ES,General,,https://genius.com/search?q=HIMNO%20COVID19%20RESISTIRE%202020,HIMNO COVID19 RESISTIRE 2020
